Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vintage-jadeite-jade-14k-solid-gold-bail-buddha-pendant-certified,VINTAGE Jadeite Jade 14k Solid Gold Bail Buddha Pendant Certified,"<table align=""center"">
<tbody>
<tr>
<td>
<p dir=""ltr"">Gorgeous Fine Vintage piece never worn or used. <br>14k solid gold bail Certified Exquisite Green Hand carved Happy Buddha jadeite jade Pendant1619</p>
<div><meta charset=""UTF-8""></div>
<p class=""p1""> </p>
<p class=""p2""><span class=""s1"">Jade pendants </span></p>
<p class=""p1""> </p>
<p class=""p1""> </p>
<p class=""p2""><span class=""s1"">Beautiful 14k solid gold Jade pendant happy Buddha </span></p>
<p class=""p2""><span class=""s1"">The pendant is marked 14k and authentic solid gold and grade A Jade</span></p>
<p class=""p1""> </p>
<p class=""p2""><span class=""s1"">Most of our jade pieces were purchased from the Middle East Souk gold market, originated from Burma, unless noted otherwise. </span></p>
<p class=""p1""> </p>
<p class=""p2""><span class=""s1"">Wear these ‘stone of heaven’ to bring prosperity while protecting yourself and your loved ones from negative energy.</span></p>
<p class=""p1""> </p>
<p class=""p2""><span class=""s1"">* Improves and enhance Clarity</span></p>
<p class=""p2""><span class=""s1"">* Instills feelings of harmony, benevolence and generosity</span></p>
<p class=""p2""><span class=""s1"">* Helps wearer increases wisdom and intuition</span></p>
<p class=""p1""> </p>
<p class=""p1""> </p>
<p class=""p2""><span class=""s1"">Jadeite is believed to bring positive energy, calmness, and balance to one’s body and mind. High quality jadeite jewelry are true heirloom pieces. It is very hard in the US to source high quality Jadeite at affordable price point. Big name designers have started to make designs using this special material. We are bringing you top quality all natural Jadeite in precious metal at a fraction of what name brand companies would charge.</span></p>
<p class=""p1""> </p>
<div><meta charset=""UTF-8""></div>
<p class=""p2""><span class=""s2"">Purchase Assurance of Quality:</span><span class=""s1""> As Each of These Pendants Are Created Using a Single Jadeite Piece, Each is Slightly Unique to the Next; There Are Subtle Variations in the Luster, Shape, and Color Hues, Which Are Approximately Represented in the Item's Picture. The Item's Picture Displays All the Main Appearance Characteristics Provided in Each Pendant Purchased. </span></p>
</td>
</tr>
</tbody>
</table>",JazzyJewelbyAmina,,,"",false,Title,Default Title,,,,,"",11.33980925,shopify,deny,manual,185.00,225.00,true,true,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_526e2e85-499b-42ed-abb7-52c1a832b242.jpg?v=1617227379,1,,false,,,,,,,,,,,,,,,,,oz,,91.69,archived
vintage-jadeite-jade-14k-solid-gold-bail-buddha-pendant-certified,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_dcc77445-9c5a-4e70-8718-e580ba7e7a89.jpg?v=1617227380,2,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-14k-solid-gold-bail-buddha-pendant-certified,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_0518762a-107a-4505-a157-154ea37dff02.jpg?v=1617227380,3,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-14k-solid-gold-bail-buddha-pendant-certified,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_fcf1f5af-79b5-4995-8e15-1aad0361acdd.jpg?v=1617227381,4,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-14k-solid-gold-bail-buddha-pendant-certified,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_3bdfedc0-52d0-4aba-9f61-1a2c4f5b0382.jpg?v=1617227382,5,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-butterfly-14k-solid-gold-bail,VINTAGE Jadeite Jade Butterfly 14k Solid Gold Bail,"<p>Stunning Vintage double sided carved lavender purple butterfly jade pendant with 14k solid yellow gold attacher bail. The bail alone is worth over $200, this vintage piece never used or worn but has been a part of our jade collection since the early 1990’s!</p>
<p>Purchased in the Arab souk market in Saudi Arabia, or originated from Burma</p>
<p>Weight: 15.29 gram.<br>Size: 44.04 mm (Length including bail) x 40.06 mm (Width).<br>Marking: 14k 585 inside bale, tested 14K solid gold all metal.</p>
<p>Purchase Assurance of Quality: As Each of These Pendants Are Created Using a Single Jadeite Piece, Each is Slightly Unique to the Next; There Are Subtle Variations in the Luster, Shape, and Color Hues, Which Are Approximately Represented in the Item’s Picture. The Item’s Picture Displays All the Main Appearance Characteristics Provided in Each Pendant Purchased.</p>",JazzyJewelbyAmina,,,"",false,Title,Default Title,,,,,"",113.3980925,shopify,deny,manual,210.00,325.00,true,true,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_9361f3a9-8d0d-47cc-956a-0abd5b3ea73f.jpg?v=1617662441,1,,false,,,,,,,,,,,,,,,,,oz,,120.00,archived
vintage-jadeite-jade-butterfly-14k-solid-gold-bail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_6ae439e3-fcc7-4303-aeb9-9d3860eb8350.jpg?v=1617662442,2,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-butterfly-14k-solid-gold-bail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_1febd740-742c-4af4-ba1c-2fd05259cd8e.jpg?v=1617662443,3,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-butterfly-14k-solid-gold-bail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_6f343539-f499-4786-973a-ab55b8515f7b.jpg?v=1617662445,4,,,,,,,,,,,,,,,,,,,,,,
vintage-jadeite-jade-butterfly-14k-solid-gold-bail,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0537/1376/4506/products/image_450ce67b-9887-4744-9a02-6c400eeb8ae4.jpg?v=1617662445,5,,,,,,,,,,,,,,,,,,,,,,
